survey,cy_var,country_var,cc_origin,cc_dict,cc_match,year,year_var,year_dict,wt,archive,surv_program,file_id,subfile,data_link,cb_link,read_ascii_args,link
bes1992,,United Kingdom,,,,1992,,,wtfactor,misc,bes,bes1992,,https://www.britishelectionstudy.com/wp-content/uploads/2014/04/92BES.dta,https://www.britishelectionstudy.com/wp-content/uploads/2014/04/1992-1997BESPanelQuestionaire.pdf,,
bes1997,,United Kingdom,,,,1997,,,"wtallgb, wtallsc, wtergb, wtersc",misc,bes,bes1997,,https://www.britishelectionstudy.com/wp-content/uploads/2014/04/97BES.dta,https://www.britishelectionstudy.com/wp-content/uploads/2014/04/1997BESTechnicalReportandQuestionaire.pdf,,
bes2001,,United Kingdom,,,,2001,,,,misc,bes,bes2001,,https://www.britishelectionstudy.com/wp-content/uploads/2014/05/prepostagg.dta,https://www.britishelectionstudy.com/wp-content/uploads/2014/04/2001BESCampaignPanelTechnicalReportCodebookQuestionaire.pdf,,
bes2005_pre,,United Kingdom,,,,2005,,,,misc,bes,bes2005_pre,,https://www.britishelectionstudy.com/wp-content/uploads/2014/05/2005BESa.dta,https://www.britishelectionstudy.com/wp-content/uploads/2014/05/2005BESPreQuestionaire.pdf,,
bes2005_post,,United Kingdom,,,,2005,,,,misc,bes,bes2005_post,,https://www.britishelectionstudy.com/wp-content/uploads/2014/05/2005BESb.dta,https://www.britishelectionstudy.com/wp-content/uploads/2014/05/2005BESPostQuestionaire.pdf,,
bes2010,,United Kingdom,,,,2010,,,,misc,bes,bes2010,,https://www.britishelectionstudy.com/wp-content/uploads/2014/04/2010BESprepost.dta,https://www.britishelectionstudy.com/wp-content/uploads/2014/04/2010BESPostQuestionaire.pdf,,
bes2015,,United Kingdom,,,,2015,,,,misc,bes,bes2015,,https://www.britishelectionstudy.com/wp-content/uploads/2018/01/bes_f2f_2015_v4.0.dta,https://www.britishelectionstudy.com/wp-content/uploads/2016/05/BES_2015_f2f_v3.0_codebook.pdf,,
bes2017,,United Kingdom,,,,2017,,,,misc,bes,bes2017,,https://www.britishelectionstudy.com/wp-content/uploads/2020/02/bes_f2f_2017_v1.5.dta,https://www.britishelectionstudy.com/wp-content/uploads/2019/01/BES-2017-F2F-codebook.pdf,,
bes2019,,United Kingdom,,,,2019,,,,misc,bes,bes2019,,,https://www.britishelectionstudy.com/wp-content/uploads/2021/05/bes_rps_2019_doc_1.1.1.pdf,,https://www.britishelectionstudy.com/wp-content/uploads/2021/05/bes_rps_2019_1.1.1_dta.zip
